year,month,mean_temp,max_temp,min_temp,precipitation
1912,Aug,25.13,29.96,20.35,149.22
1912,Sep,25.39,30.27,20.55,150.7
1912,Oct,25.67,30.64,20.75,198.8
1912,Nov,25.98,30.75,21.26,256.89
1912,Dec,25.67,30.2,21.19,285.31
1913,Jan,25.46,29.95,21.03,300.31
1913,Feb,25.57,30.15,21.04,248.06
1913,Mar,25.73,30.29,21.22,305.59
1913,Apr,25.72,30.34,21.14,276.81
1913,May,25.92,30.54,21.35,240.28
1913,Jun,25.25,29.9,20.65,187.08
1913,Jul,25.03,29.73,20.38,157.9
1913,Aug,25.1,29.94,20.32,140.83
1913,Sep,25.38,30.27,20.53,153.76
1913,Oct,25.78,30.77,20.84,182.55
1913,Nov,26.05,30.82,21.32,226.04
1913,Dec,25.71,30.26,21.22,292.74
1914,Jan,25.49,29.95,21.09,304.31
1914,Feb,25.64,30.2,21.13,234.46
1914,Mar,25.74,30.3,21.23,268.87
1914,Apr,25.87,30.5,21.28,264.85
1914,May,26.19,30.81,21.62,208.25
1914,Jun,25.33,29.98,20.73,173.04
1914,Jul,25.04,29.76,20.37,103.4
1914,Aug,25.17,30.03,20.36,128.01
1914,Sep,25.44,30.35,20.57,111.5
1914,Oct,25.88,30.86,20.94,157.28
1914,Nov,26.12,30.9,21.4,217.7
1914,Dec,25.86,30.39,21.37,269.86
1915,Jan,25.41,29.88,20.99,292.76
1915,Feb,25.46,30.03,20.93,234.3
1915,Mar,25.76,30.33,21.24,263.66
1915,Apr,25.91,30.54,21.34,261.39
1915,May,25.93,30.54,21.37,246.93
1915,Jun,25.55,30.18,20.97,180.35
1915,Jul,25.09,29.81,20.42,149.19
1915,Aug,25.3,30.17,20.49,173.47
1915,Sep,25.44,30.36,20.58,182.62
1915,Oct,25.79,30.76,20.87,205.12
1915,Nov,26.12,30.91,21.38,286.78
1915,Dec,25.64,30.17,21.15,284.55
1916,Jan,25.12,29.61,20.69,265.18
1916,Feb,25.35,29.94,20.81,228.92
1916,Mar,25.61,30.18,21.1,312.27
1916,Apr,25.8,30.45,21.2,247.45
1916,May,25.71,30.33,21.15,227.23
1916,Jun,25.23,29.87,20.64,178.36
1916,Jul,24.89,29.58,20.25,247.15
1916,Aug,25.03,29.88,20.24,229.18
1916,Sep,25.4,30.3,20.55,192.77
1916,Oct,25.77,30.76,20.84,259.21
1916,Nov,26.06,30.85,21.32,254.72
