province_name,year,month,mean_temp,max_temp,min_temp,precipitation
Aceh,1908,09_Sep,24.99,31.31,18.71,298.95
Aceh,1908,10_Oct,25.36,31.66,19.13,216.95
Aceh,1908,11_Nov,25.24,31.18,19.35,171.8
Aceh,1908,12_Dec,25.06,30.92,19.24,316.64
Aceh,1909,01_Jan,24.42,30.36,18.52,161.91
Aceh,1909,02_Feb,24.74,30.7,18.81,140.82
Aceh,1909,03_Mar,25.02,31.12,19.01,187.9
Aceh,1909,04_Apr,25.45,31.44,19.49,97.37
Aceh,1909,05_May,25.28,31.41,19.21,199.05
Aceh,1909,06_Jun,24.82,30.88,18.82,219.89
Aceh,1909,07_Jul,24.64,30.97,18.38,153.52
Aceh,1909,08_Aug,24.76,31.17,18.39,222.57
Aceh,1909,09_Sep,25.07,31.4,18.79,264.73
Aceh,1909,10_Oct,25.35,31.65,19.12,323.64
Aceh,1909,11_Nov,25.19,31.13,19.29,258.69
Aceh,1909,12_Dec,24.96,30.83,19.15,210.83
Aceh,1910,01_Jan,24.39,30.33,18.49,184.33
Aceh,1910,02_Feb,24.7,30.66,18.77,271.52
Aceh,1910,03_Mar,24.78,30.87,18.76,202.95
Aceh,1910,04_Apr,25.35,31.34,19.39,156.88
Aceh,1910,05_May,25.47,31.59,19.4,166.12
Aceh,1910,06_Jun,24.85,30.9,18.84,258.31
Aceh,1910,07_Jul,24.85,31.18,18.58,119.46
Aceh,1910,08_Aug,24.88,31.3,18.52,228.34
Aceh,1910,09_Sep,24.92,31.25,18.65,146.41
Aceh,1910,10_Oct,25.27,31.57,19.04,216.92
Aceh,1910,11_Nov,25.3,31.23,19.4,294.79
Aceh,1910,12_Dec,24.96,30.82,19.14,323.03
Aceh,1911,01_Jan,24.41,30.35,18.51,189.03
Aceh,1911,02_Feb,24.86,30.81,18.93,73.94
Aceh,1911,03_Mar,25.11,31.2,19.09,161.18
Aceh,1911,04_Apr,25.55,31.55,19.6,191.94
Aceh,1911,05_May,25.46,31.58,19.38,106.79
Aceh,1911,06_Jun,25.04,31.1,19.04,127.08
Aceh,1911,07_Jul,25.03,31.36,18.76,133.63
Aceh,1911,08_Aug,24.93,31.35,18.57,136.8
Aceh,1911,09_Sep,25.21,31.54,18.93,243.43
Aceh,1911,10_Oct,25.39,31.69,19.16,260.62
Aceh,1911,11_Nov,25.79,31.73,19.9,318.23
Aceh,1911,12_Dec,25.43,31.29,19.61,314.29
Aceh,1912,01_Jan,24.73,30.67,18.83,157.61
Aceh,1912,02_Feb,24.99,30.94,19.06,243.6
Aceh,1912,03_Mar,25.36,31.45,19.34,52.82
Aceh,1912,04_Apr,25.85,31.85,19.9,84.42
Aceh,1912,05_May,25.57,31.69,19.5,317.57
Aceh,1912,06_Jun,24.89,30.95,18.88,175.17
Aceh,1912,07_Jul,24.83,31.16,18.57,86.99
Aceh,1912,08_Aug,24.88,31.29,18.51,175.76
Aceh,1912,09_Sep,25.19,31.52,18.92,182.34
Aceh,1912,10_Oct,25.47,31.76,19.23,425.27
Aceh,1912,11_Nov,25.44,31.38,19.55,315.54
Aceh,1912,12_Dec,25.32,31.19,19.51,283.42
Aceh,1913,01_Jan,24.65,30.59,18.75,283.89
Aceh,1913,02_Feb,24.98,30.94,19.05,162.59
Aceh,1913,03_Mar,25.41,31.5,19.39,88.02
Aceh,1913,04_Apr,25.59,31.59,19.64,242.59
Aceh,1913,05_May,25.62,31.74,19.54,205.15
Aceh,1913,06_Jun,24.81,30.87,18.8,162.36
Aceh,1913,07_Jul,24.8,31.14,18.54,136.59
Aceh,1913,08_Aug,25.02,31.44,18.66,206.29
Aceh,1913,09_Sep,25.17,31.5,18.9,217.5
Aceh,1913,10_Oct,25.56,31.86,19.33,216.46
Aceh,1913,11_Nov,25.54,31.48,19.64,323.22
Aceh,1913,12_Dec,25.36,31.22,19.54,315.31
Aceh,1914,01_Jan,24.6,30.54,18.7,254.31
Aceh,1914,02_Feb,24.94,30.89,19.01,109.39
Aceh,1914,03_Mar,25.21,31.31,19.2,122.64
Aceh,1914,04_Apr,25.69,31.69,19.74,177.7
Aceh,1914,05_May,25.81,31.93,19.74,110.8
Aceh,1914,06_Jun,24.84,30.9,18.84,124.64
Aceh,1914,07_Jul,24.87,31.2,18.6,106.09
Aceh,1914,08_Aug,25.02,31.43,18.66,210.12
Aceh,1914,09_Sep,25.42,31.75,19.15,255.69
Aceh,1914,10_Oct,25.75,32.05,19.52,261.19
Aceh,1914,11_Nov,25.87,31.81,19.98,219.65
Aceh,1914,12_Dec,25.57,31.43,19.75,251.25
Aceh,1915,01_Jan,24.77,30.7,18.87,194.46
Aceh,1915,02_Feb,25.05,31.0,19.12,132.96
Aceh,1915,03_Mar,25.3,31.39,19.28,212.82
Aceh,1915,04_Apr,25.82,31.82,19.87,250.63
Aceh,1915,05_May,25.71,31.83,19.64,202.26
Aceh,1915,06_Jun,25.04,31.1,19.03,193.5
Aceh,1915,07_Jul,24.88,31.21,18.61,169.33
Aceh,1915,08_Aug,25.11,31.52,18.75,240.74
Aceh,1915,09_Sep,25.33,31.66,19.06,195.85
Aceh,1915,10_Oct,25.53,31.83,19.3,240.84
Aceh,1915,11_Nov,25.63,31.56,19.73,426.23
Aceh,1915,12_Dec,25.13,30.99,19.31,331.44
Aceh,1916,01_Jan,24.37,30.3,18.47,225.92
Aceh,1916,02_Feb,24.85,30.8,18.92,123.73
Aceh,1916,03_Mar,25.22,31.31,19.2,188.9
Aceh,1916,04_Apr,25.91,31.9,19.95,131.45
Aceh,1916,05_May,25.43,31.55,19.35,330.55
Aceh,1916,06_Jun,24.92,30.98,18.91,116.21
Aceh,1916,07_Jul,24.6,30.93,18.34,357.69
Aceh,1916,08_Aug,24.84,31.26,18.48,206.6
Aceh,1916,09_Sep,25.26,31.58,18.98,159.86
Aceh,1916,10_Oct,25.56,31.86,19.33,324.81
Aceh,1916,11_Nov,25.52,31.46,19.63,248.73
Aceh,1916,12_Dec,25.14,31.0,19.32,296.84
Aceh,1917,01_Jan,24.24,30.18,18.35,411.63
Aceh,1917,02_Feb,24.56,30.51,18.63,171.97
Aceh,1917,03_Mar,24.93,31.02,18.91,347.15
Aceh,1917,04_Apr,25.63,31.63,19.68,123.13
Aceh,1917,05_May,25.13,31.25,19.06,141.8
Aceh,1917,06_Jun,24.87,30.93,18.86,97.32
Aceh,1917,07_Jul,24.74,31.07,18.48,222.73
Aceh,1917,08_Aug,24.72,31.13,18.36,202.39
Aceh,1917,09_Sep,25.08,31.41,18.8,131.15
Aceh,1917,10_Oct,25.41,31.7,19.17,176.51
Aceh,1917,11_Nov,25.54,31.47,19.64,241.81
Aceh,1917,12_Dec,25.05,30.92,19.23,273.35
Aceh,1918,01_Jan,24.02,29.95,18.12,377.2
Aceh,1918,02_Feb,24.01,29.96,18.08,63.09
Aceh,1918,03_Mar,25.03,31.12,19.01,117.4
Aceh,1918,04_Apr,25.43,31.43,19.48,186.47
Aceh,1918,05_May,25.19,31.31,19.12,138.34
Aceh,1918,06_Jun,24.64,30.69,18.63,234.02
Aceh,1918,07_Jul,24.87,31.2,18.6,83.31
Aceh,1918,08_Aug,24.94,31.35,18.57,208.18
Aceh,1918,09_Sep,25.21,31.54,18.94,156.63
Aceh,1918,10_Oct,25.37,31.66,19.13,401.3
Aceh,1918,11_Nov,25.61,31.54,19.71,249.73
Aceh,1918,12_Dec,25.04,30.9,19.22,195.63
Aceh,1919,01_Jan,24.84,30.78,18.94,220.23
Aceh,1919,02_Feb,25.03,30.98,19.1,96.35
