province_name,year,month,mean_temp
Aceh,1915,Sep,25.33
Aceh,1915,Oct,25.53
Aceh,1915,Nov,25.63
Aceh,1915,Dec,25.13
Aceh,1916,Jan,24.37
Aceh,1916,Feb,24.85
Aceh,1916,Mar,25.22
Aceh,1916,Apr,25.91
Aceh,1916,May,25.43
Aceh,1916,Jun,24.92
Aceh,1916,Jul,24.6
Aceh,1916,Aug,24.84
Aceh,1916,Sep,25.26
Aceh,1916,Oct,25.56
Aceh,1916,Nov,25.52
Aceh,1916,Dec,25.14
Aceh,1917,Jan,24.24
Aceh,1917,Feb,24.56
Aceh,1917,Mar,24.93
Aceh,1917,Apr,25.63
Aceh,1917,May,25.13
Aceh,1917,Jun,24.87
Aceh,1917,Jul,24.74
Aceh,1917,Aug,24.72
Aceh,1917,Sep,25.08
Aceh,1917,Oct,25.41
Aceh,1917,Nov,25.54
Aceh,1917,Dec,25.05
Aceh,1918,Jan,24.02
Aceh,1918,Feb,24.01
Aceh,1918,Mar,25.03
Aceh,1918,Apr,25.43
Aceh,1918,May,25.19
Aceh,1918,Jun,24.64
Aceh,1918,Jul,24.87
Aceh,1918,Aug,24.94
Aceh,1918,Sep,25.21
Aceh,1918,Oct,25.37
Aceh,1918,Nov,25.61
Aceh,1918,Dec,25.04
Aceh,1919,Jan,24.84
Aceh,1919,Feb,25.03
Aceh,1919,Mar,25.32
Aceh,1919,Apr,25.84
Aceh,1919,May,25.71
Aceh,1919,Jun,25.09
Aceh,1919,Jul,24.8
Aceh,1919,Aug,25.13
Aceh,1919,Sep,25.37
Aceh,1919,Oct,25.63
Aceh,1919,Nov,25.51
Aceh,1919,Dec,25.22
Aceh,1920,Jan,24.56
Aceh,1920,Feb,24.67
Aceh,1920,Mar,25.33
Aceh,1920,Apr,25.72
Aceh,1920,May,25.54
Aceh,1920,Jun,25.09
Aceh,1920,Jul,24.94
Aceh,1920,Aug,24.83
Aceh,1920,Sep,25.23
Aceh,1920,Oct,25.44
Aceh,1920,Nov,25.66
Aceh,1920,Dec,24.97
Aceh,1921,Jan,24.64
Aceh,1921,Feb,24.58
Aceh,1921,Mar,25.17
Aceh,1921,Apr,25.67
Aceh,1921,May,25.31
Aceh,1921,Jun,24.9
Aceh,1921,Jul,24.77
Aceh,1921,Aug,24.94
Aceh,1921,Sep,25.2
Aceh,1921,Oct,25.34
Aceh,1921,Nov,25.34
Aceh,1921,Dec,25.31
Aceh,1922,Jan,24.69
Aceh,1922,Feb,24.69
Aceh,1922,Mar,24.87
Aceh,1922,Apr,25.28
Aceh,1922,May,25.26
Aceh,1922,Jun,24.81
Aceh,1922,Jul,24.72
Aceh,1922,Aug,24.73
Aceh,1922,Sep,25.23
Aceh,1922,Oct,25.4
Aceh,1922,Nov,25.57
Aceh,1922,Dec,25.26
Aceh,1923,Jan,24.45
Aceh,1923,Feb,24.61
Aceh,1923,Mar,25.03
Aceh,1923,Apr,25.67
Aceh,1923,May,25.36
Aceh,1923,Jun,24.95
Aceh,1923,Jul,24.54
Aceh,1923,Aug,24.74
Aceh,1923,Sep,24.89
Aceh,1923,Oct,25.42
Aceh,1923,Nov,25.49
Aceh,1923,Dec,25.35
Aceh,1924,Jan,24.72
Aceh,1924,Feb,24.73
Aceh,1924,Mar,25.1
Aceh,1924,Apr,25.63
Aceh,1924,May,25.36
Aceh,1924,Jun,24.83
