province_name,year,month,max_temp
Aceh,1915,Sep,31.66
Aceh,1915,Oct,31.83
Aceh,1915,Nov,31.56
Aceh,1915,Dec,30.99
Aceh,1916,Jan,30.3
Aceh,1916,Feb,30.8
Aceh,1916,Mar,31.31
Aceh,1916,Apr,31.9
Aceh,1916,May,31.55
Aceh,1916,Jun,30.98
Aceh,1916,Jul,30.93
Aceh,1916,Aug,31.26
Aceh,1916,Sep,31.58
Aceh,1916,Oct,31.86
Aceh,1916,Nov,31.46
Aceh,1916,Dec,31.0
Aceh,1917,Jan,30.18
Aceh,1917,Feb,30.51
Aceh,1917,Mar,31.02
Aceh,1917,Apr,31.63
Aceh,1917,May,31.25
Aceh,1917,Jun,30.93
Aceh,1917,Jul,31.07
Aceh,1917,Aug,31.13
Aceh,1917,Sep,31.41
Aceh,1917,Oct,31.7
Aceh,1917,Nov,31.47
Aceh,1917,Dec,30.92
Aceh,1918,Jan,29.95
Aceh,1918,Feb,29.96
Aceh,1918,Mar,31.12
Aceh,1918,Apr,31.43
Aceh,1918,May,31.31
Aceh,1918,Jun,30.69
Aceh,1918,Jul,31.2
Aceh,1918,Aug,31.35
Aceh,1918,Sep,31.54
Aceh,1918,Oct,31.66
Aceh,1918,Nov,31.54
Aceh,1918,Dec,30.9
Aceh,1919,Jan,30.78
Aceh,1919,Feb,30.98
Aceh,1919,Mar,31.41
Aceh,1919,Apr,31.84
Aceh,1919,May,31.83
Aceh,1919,Jun,31.15
Aceh,1919,Jul,31.14
Aceh,1919,Aug,31.55
Aceh,1919,Sep,31.7
Aceh,1919,Oct,31.93
Aceh,1919,Nov,31.45
Aceh,1919,Dec,31.09
Aceh,1920,Jan,30.5
Aceh,1920,Feb,30.62
Aceh,1920,Mar,31.42
Aceh,1920,Apr,31.72
Aceh,1920,May,31.66
Aceh,1920,Jun,31.14
Aceh,1920,Jul,31.28
Aceh,1920,Aug,31.24
Aceh,1920,Sep,31.56
Aceh,1920,Oct,31.73
Aceh,1920,Nov,31.6
Aceh,1920,Dec,30.83
Aceh,1921,Jan,30.58
Aceh,1921,Feb,30.54
Aceh,1921,Mar,31.26
Aceh,1921,Apr,31.67
Aceh,1921,May,31.43
Aceh,1921,Jun,30.96
Aceh,1921,Jul,31.1
Aceh,1921,Aug,31.36
Aceh,1921,Sep,31.52
Aceh,1921,Oct,31.64
Aceh,1921,Nov,31.28
Aceh,1921,Dec,31.17
Aceh,1922,Jan,30.63
Aceh,1922,Feb,30.65
Aceh,1922,Mar,30.97
Aceh,1922,Apr,31.27
Aceh,1922,May,31.38
Aceh,1922,Jun,30.87
Aceh,1922,Jul,31.05
Aceh,1922,Aug,31.14
Aceh,1922,Sep,31.56
Aceh,1922,Oct,31.7
Aceh,1922,Nov,31.51
Aceh,1922,Dec,31.12
Aceh,1923,Jan,30.39
Aceh,1923,Feb,30.57
Aceh,1923,Mar,31.13
Aceh,1923,Apr,31.66
Aceh,1923,May,31.48
Aceh,1923,Jun,31.0
Aceh,1923,Jul,30.88
Aceh,1923,Aug,31.16
Aceh,1923,Sep,31.22
Aceh,1923,Oct,31.72
Aceh,1923,Nov,31.43
Aceh,1923,Dec,31.21
Aceh,1924,Jan,30.41
Aceh,1924,Feb,30.55
Aceh,1924,Mar,31.02
Aceh,1924,Apr,31.63
Aceh,1924,May,31.41
Aceh,1924,Jun,30.86
Aceh,1924,Jul,31.1
Aceh,1924,Aug,31.55
Aceh,1924,Sep,31.43
Aceh,1924,Oct,31.47
Aceh,1924,Nov,31.09
Aceh,1924,Dec,30.77
Aceh,1925,Jan,30.4
Aceh,1925,Feb,30.29
Aceh,1925,Mar,30.98
Aceh,1925,Apr,31.57
Aceh,1925,May,31.83
Aceh,1925,Jun,31.19
Aceh,1925,Jul,31.22
Aceh,1925,Aug,31.59
Aceh,1925,Sep,31.75
Aceh,1925,Oct,31.64
Aceh,1925,Nov,31.57
Aceh,1925,Dec,31.08
Aceh,1926,Jan,30.41
Aceh,1926,Feb,31.05
Aceh,1926,Mar,31.69
Aceh,1926,Apr,32.11
Aceh,1926,May,31.91
Aceh,1926,Jun,31.22
Aceh,1926,Jul,31.39
Aceh,1926,Aug,31.55
Aceh,1926,Sep,31.6
Aceh,1926,Oct,31.8
Aceh,1926,Nov,31.6
Aceh,1926,Dec,31.08
Aceh,1927,Jan,30.35
Aceh,1927,Feb,30.75
Aceh,1927,Mar,31.36
Aceh,1927,Apr,31.46
Aceh,1927,May,31.61
Aceh,1927,Jun,31.06
Aceh,1927,Jul,31.16
Aceh,1927,Aug,31.53
Aceh,1927,Sep,31.73
Aceh,1927,Oct,31.66
Aceh,1927,Nov,31.46
Aceh,1927,Dec,31.19
Aceh,1928,Jan,30.68
Aceh,1928,Feb,30.51
Aceh,1928,Mar,31.1
Aceh,1928,Apr,31.52
Aceh,1928,May,31.74
Aceh,1928,Jun,31.16
Aceh,1928,Jul,31.38
Aceh,1928,Aug,31.45
Aceh,1928,Sep,31.76
Aceh,1928,Oct,31.79
Aceh,1928,Nov,31.51
Aceh,1928,Dec,31.28
Aceh,1929,Jan,30.66
Aceh,1929,Feb,30.4
Aceh,1929,Mar,30.97
Aceh,1929,Apr,31.86
Aceh,1929,May,31.72
Aceh,1929,Jun,30.91
Aceh,1929,Jul,31.41
Aceh,1929,Aug,31.35
Aceh,1929,Sep,31.67
Aceh,1929,Oct,31.75
Aceh,1929,Nov,31.34
Aceh,1929,Dec,31.05
Aceh,1930,Jan,30.86
Aceh,1930,Feb,31.04
Aceh,1930,Mar,31.11
Aceh,1930,Apr,31.96
Aceh,1930,May,31.84
Aceh,1930,Jun,31.11
Aceh,1930,Jul,31.47
Aceh,1930,Aug,31.79
Aceh,1930,Sep,31.52
Aceh,1930,Oct,31.95
Aceh,1930,Nov,31.33
Aceh,1930,Dec,31.22
Aceh,1931,Jan,30.52
Aceh,1931,Feb,31.49
Aceh,1931,Mar,31.85
Aceh,1931,Apr,31.96
Aceh,1931,May,31.96
Aceh,1931,Jun,31.14
Aceh,1931,Jul,31.15
Aceh,1931,Aug,31.69
Aceh,1931,Sep,31.6
Aceh,1931,Oct,31.76
Aceh,1931,Nov,31.67
Aceh,1931,Dec,30.87
Aceh,1932,Jan,30.58
Aceh,1932,Feb,30.88
Aceh,1932,Mar,31.24
Aceh,1932,Apr,31.56
Aceh,1932,May,31.74
Aceh,1932,Jun,30.8
Aceh,1932,Jul,31.13
Aceh,1932,Aug,31.25
Aceh,1932,Sep,31.53
Aceh,1932,Oct,31.79
Aceh,1932,Nov,31.07
Aceh,1932,Dec,31.29
Aceh,1933,Jan,30.37
Aceh,1933,Feb,31.07
Aceh,1933,Mar,31.27
Aceh,1933,Apr,31.57
Aceh,1933,May,31.96
Aceh,1933,Jun,31.25
Aceh,1933,Jul,31.13
Aceh,1933,Aug,31.54
Aceh,1933,Sep,31.62
Aceh,1933,Oct,31.61
Aceh,1933,Nov,31.2
Aceh,1933,Dec,31.01
Aceh,1934,Jan,30.07
Aceh,1934,Feb,30.2
Aceh,1934,Mar,30.82
Aceh,1934,Apr,31.42
Aceh,1934,May,31.71
Aceh,1934,Jun,30.81
Aceh,1934,Jul,31.24
Aceh,1934,Aug,31.28
Aceh,1934,Sep,31.59
Aceh,1934,Oct,31.6
Aceh,1934,Nov,31.33
Aceh,1934,Dec,31.17
Aceh,1935,Jan,30.63
Aceh,1935,Feb,31.03
Aceh,1935,Mar,31.34
Aceh,1935,Apr,31.76
Aceh,1935,May,31.34
Aceh,1935,Jun,30.8
Aceh,1935,Jul,31.18
Aceh,1935,Aug,31.22
Aceh,1935,Sep,31.62
Aceh,1935,Oct,31.7
Aceh,1935,Nov,31.21
Aceh,1935,Dec,31.08
Aceh,1936,Jan,30.18
Aceh,1936,Feb,30.9
Aceh,1936,Mar,31.17
Aceh,1936,Apr,31.65
Aceh,1936,May,31.59
Aceh,1936,Jun,30.9
Aceh,1936,Jul,31.07
Aceh,1936,Aug,31.14
Aceh,1936,Sep,31.54
Aceh,1936,Oct,31.55
Aceh,1936,Nov,31.35
Aceh,1936,Dec,31.33
Aceh,1937,Jan,30.65
Aceh,1937,Feb,31.05
Aceh,1937,Mar,31.33
Aceh,1937,Apr,31.54
Aceh,1937,May,31.36
Aceh,1937,Jun,31.01
Aceh,1937,Jul,31.14
Aceh,1937,Aug,31.6
Aceh,1937,Sep,31.56
Aceh,1937,Oct,31.61
Aceh,1937,Nov,31.44
Aceh,1937,Dec,30.9
Aceh,1938,Jan,30.63
Aceh,1938,Feb,30.92
Aceh,1938,Mar,30.68
Aceh,1938,Apr,31.4
Aceh,1938,May,31.33
Aceh,1938,Jun,31.07
Aceh,1938,Jul,31.21
Aceh,1938,Aug,31.02
Aceh,1938,Sep,31.35
Aceh,1938,Oct,31.77
Aceh,1938,Nov,31.22
Aceh,1938,Dec,31.23
Aceh,1939,Jan,30.34
Aceh,1939,Feb,30.59
Aceh,1939,Mar,31.16
Aceh,1939,Apr,31.37
Aceh,1939,May,31.49
Aceh,1939,Jun,30.67
Aceh,1939,Jul,31.11
Aceh,1939,Aug,31.18
Aceh,1939,Sep,31.23
Aceh,1939,Oct,31.39
Aceh,1939,Nov,31.3
Aceh,1939,Dec,30.67
Aceh,1940,Jan,30.21
Aceh,1940,Feb,30.73
Aceh,1940,Mar,31.27
Aceh,1940,Apr,31.82
Aceh,1940,May,31.56
Aceh,1940,Jun,30.93
Aceh,1940,Jul,31.19
Aceh,1940,Aug,30.94
Aceh,1940,Sep,31.31
Aceh,1940,Oct,31.84
Aceh,1940,Nov,31.44
Aceh,1940,Dec,31.28
Aceh,1941,Jan,30.8
Aceh,1941,Feb,30.73
Aceh,1941,Mar,31.22
Aceh,1941,Apr,31.79
Aceh,1941,May,31.67
Aceh,1941,Jun,31.43
Aceh,1941,Jul,31.42
Aceh,1941,Aug,31.27
Aceh,1941,Sep,31.57
Aceh,1941,Oct,31.8
Aceh,1941,Nov,31.43
Aceh,1941,Dec,31.47
Aceh,1942,Jan,30.43
Aceh,1942,Feb,30.56
Aceh,1942,Mar,30.67
Aceh,1942,Apr,30.94
Aceh,1942,May,31.01
Aceh,1942,Jun,30.75
Aceh,1942,Jul,30.81
Aceh,1942,Aug,30.89
Aceh,1942,Sep,30.99
Aceh,1942,Oct,31.2
Aceh,1942,Nov,31.0
Aceh,1942,Dec,30.71
Aceh,1943,Jan,30.11
Aceh,1943,Feb,30.7
Aceh,1943,Mar,30.89
Aceh,1943,Apr,31.47
Aceh,1943,May,31.46
Aceh,1943,Jun,30.95
Aceh,1943,Jul,31.05
Aceh,1943,Aug,31.39
Aceh,1943,Sep,31.41
Aceh,1943,Oct,31.5
Aceh,1943,Nov,31.13
Aceh,1943,Dec,30.67
Aceh,1944,Jan,30.27
